phase,train_fraction,method,queue_run,severity,corruption,it_total_ood_auroc,it_epistemic_ood_auroc,it_aleatoric_ood_auroc
full-data,1.0,ddu,5w1yjrmj,4,brightness,0.546124,0.500000,0.546124
full-data,1.0,ddu,5w1yjrmj,4,contrast,0.731057,0.500000,0.731057
full-data,1.0,ddu,5w1yjrmj,4,defocus_blur,0.751353,0.500000,0.751353
full-data,1.0,ddu,5w1yjrmj,4,elastic,0.746371,0.500000,0.746371
full-data,1.0,ddu,5w1yjrmj,4,fog,0.634911,0.500000,0.634911
full-data,1.0,ddu,5w1yjrmj,4,frost,0.767865,0.500000,0.767865
full-data,1.0,ddu,5w1yjrmj,4,frosted_glass_blur,0.873091,0.500000,0.873091
full-data,1.0,ddu,5w1yjrmj,4,gaussian_noise,0.863563,0.500000,0.863563
full-data,1.0,ddu,5w1yjrmj,4,impulse_noise,0.907043,0.500000,0.907043
full-data,1.0,ddu,5w1yjrmj,4,jpeg,0.812469,0.500000,0.812469
full-data,1.0,ddu,5w1yjrmj,4,motion_blur,0.770745,0.500000,0.770745
full-data,1.0,ddu,5w1yjrmj,4,pixelate,0.790146,0.500000,0.790146
full-data,1.0,ddu,5w1yjrmj,4,shot_noise,0.847382,0.500000,0.847382
full-data,1.0,ddu,5w1yjrmj,4,snow,0.713910,0.500000,0.713910
full-data,1.0,ddu,5w1yjrmj,4,zoom_blur,0.788344,0.500000,0.788344
full-data,1.0,ddu,5w1yjrmj,5,brightness,0.597828,0.500000,0.597828
full-data,1.0,ddu,5w1yjrmj,5,contrast,0.887454,0.500000,0.887454
full-data,1.0,ddu,5w1yjrmj,5,defocus_blur,0.878211,0.500000,0.878211
full-data,1.0,ddu,5w1yjrmj,5,elastic,0.788983,0.500000,0.788983
full-data,1.0,ddu,5w1yjrmj,5,fog,0.772669,0.500000,0.772669
full-data,1.0,ddu,5w1yjrmj,5,frost,0.816739,0.500000,0.816739
full-data,1.0,ddu,5w1yjrmj,5,frosted_glass_blur,0.869847,0.500000,0.869847
full-data,1.0,ddu,5w1yjrmj,5,gaussian_noise,0.871934,0.500000,0.871934
full-data,1.0,ddu,5w1yjrmj,5,impulse_noise,0.933603,0.500000,0.933603
full-data,1.0,ddu,5w1yjrmj,5,jpeg,0.833778,0.500000,0.833778
full-data,1.0,ddu,5w1yjrmj,5,motion_blur,0.810802,0.500000,0.810802
full-data,1.0,ddu,5w1yjrmj,5,pixelate,0.862689,0.500000,0.862689
full-data,1.0,ddu,5w1yjrmj,5,shot_noise,0.873288,0.500000,0.873288
full-data,1.0,ddu,5w1yjrmj,5,snow,0.757499,0.500000,0.757499
full-data,1.0,ddu,5w1yjrmj,5,zoom_blur,0.830280,0.500000,0.830280
full-data,1.0,postnet,8ugac5sn,1,brightness,0.500135,0.500614,0.500133
full-data,1.0,postnet,8ugac5sn,1,contrast,0.506686,0.505170,0.506734
full-data,1.0,postnet,8ugac5sn,1,defocus_blur,0.500623,0.498687,0.500669
full-data,1.0,postnet,8ugac5sn,1,elastic,0.583828,0.547457,0.584444
full-data,1.0,postnet,8ugac5sn,1,fog,0.502657,0.501360,0.502670
full-data,1.0,postnet,8ugac5sn,1,frost,0.588565,0.574973,0.588838
full-data,1.0,postnet,8ugac5sn,1,frosted_glass_blur,0.823847,0.765257,0.824445
full-data,1.0,postnet,8ugac5sn,1,gaussian_noise,0.713530,0.705849,0.713586
full-data,1.0,postnet,8ugac5sn,1,impulse_noise,0.628401,0.560300,0.629401
full-data,1.0,postnet,8ugac5sn,1,jpeg,0.642251,0.612658,0.642677
full-data,1.0,postnet,8ugac5sn,1,motion_blur,0.588524,0.563106,0.588952
full-data,1.0,postnet,8ugac5sn,1,pixelate,0.549196,0.535577,0.549429
full-data,1.0,postnet,8ugac5sn,1,shot_noise,0.648765,0.641949,0.648843
full-data,1.0,postnet,8ugac5sn,1,snow,0.566667,0.543852,0.567057
full-data,1.0,postnet,8ugac5sn,1,zoom_blur,0.631343,0.588376,0.632018
full-data,1.0,postnet,8ugac5sn,2,brightness,0.503781,0.501540,0.503831
full-data,1.0,postnet,8ugac5sn,2,contrast,0.544709,0.522821,0.545089
full-data,1.0,postnet,8ugac5sn,2,defocus_blur,0.525834,0.511560,0.526083
full-data,1.0,postnet,8ugac5sn,2,elastic,0.587132,0.549296,0.587759
full-data,1.0,postnet,8ugac5sn,2,fog,0.518667,0.509310,0.518858
full-data,1.0,postnet,8ugac5sn,2,frost,0.646997,0.620913,0.647448
full-data,1.0,postnet,8ugac5sn,2,frosted_glass_blur,0.815655,0.756393,0.816271
full-data,1.0,postnet,8ugac5sn,2,gaussian_noise,0.809610,0.792000,0.809692
full-data,1.0,postnet,8ugac5sn,2,impulse_noise,0.748733,0.655862,0.749788
full-data,1.0,postnet,8ugac5sn,2,jpeg,0.705090,0.657903,0.705718
full-data,1.0,postnet,8ugac5sn,2,motion_blur,0.675593,0.625158,0.676293
full-data,1.0,postnet,8ugac5sn,2,pixelate,0.621711,0.604223,0.621988
full-data,1.0,postnet,8ugac5sn,2,shot_noise,0.728013,0.723624,0.728007
full-data,1.0,postnet,8ugac5sn,2,snow,0.687560,0.656096,0.688000
full-data,1.0,postnet,8ugac5sn,2,zoom_blur,0.701185,0.644950,0.701925
full-data,1.0,postnet,8ugac5sn,3,brightness,0.510693,0.503644,0.510827
full-data,1.0,postnet,8ugac5sn,3,contrast,0.584512,0.542833,0.585180
full-data,1.0,postnet,8ugac5sn,3,defocus_blur,0.631032,0.588233,0.631667
full-data,1.0,postnet,8ugac5sn,3,elastic,0.661045,0.608118,0.661768
full-data,1.0,postnet,8ugac5sn,3,fog,0.542714,0.523305,0.543049
full-data,1.0,postnet,8ugac5sn,3,frost,0.720018,0.687222,0.720482
full-data,1.0,postnet,8ugac5sn,3,frosted_glass_blur,0.804640,0.748622,0.805236
full-data,1.0,postnet,8ugac5sn,3,gaussian_noise,0.856269,0.808898,0.856587
full-data,1.0,postnet,8ugac5sn,3,impulse_noise,0.842254,0.742915,0.843082
full-data,1.0,postnet,8ugac5sn,3,jpeg,0.729614,0.676707,0.730304
full-data,1.0,postnet,8ugac5sn,3,motion_blur,0.744925,0.673936,0.745759
full-data,1.0,postnet,8ugac5sn,3,pixelate,0.663452,0.641120,0.663764
