phase,train_fraction,method,parameter_source,decomposition,num_samples,num_finite_samples,mean_aleatoric,mean_epistemic,std_aleatoric,std_epistemic,pearson_aleatoric_label_entropy,spearman_aleatoric_label_entropy,pearson_epistemic_label_entropy,spearman_epistemic_label_entropy,spearman_aleatoric_vote_disagreement,spearman_epistemic_vote_disagreement
full-data,1,fast-deep-ensemble,transferred-cifar-config-extra,bregman-estimated,977,977,0.1994653791,0.2251733094,0.1716135591,0.3844245374,0.01824599429,0.1409309333,-0.01629478936,0.1566828001,0.09048854843,0.1068509969
scarce-50pct,0.5,duq,transferred-cifar-config-extra,information-theoretic,977,977,0.3619650304,0,0.2366059124,0,0.07620189173,0.1426369409,,,0.09874124521,
scarce-50pct,0.5,duq,transferred-cifar-config-extra,bregman-estimated,977,977,0.3619650304,3.084660305e-11,0.2366059124,1.011881157e-08,0.07620189173,0.1426369409,,,0.09874124521,
scarce-50pct,0.5,fast-deep-ensemble,transferred-cifar-config-extra,information-theoretic,977,977,0.2379640937,0.09362259507,0.1642622054,0.1068756729,0.06296501108,0.1504785001,0.02095138609,0.1281709067,0.1018106142,0.08911334128
scarce-50pct,0.5,fast-deep-ensemble,transferred-cifar-config-extra,bregman-estimated,977,977,0.2379640937,0.1500386596,0.1642622054,0.2156597227,0.06296501108,0.1504785001,-0.0001819033864,0.1239280955,0.1018106142,0.08483452375
scarce-10pct,0.1,duq,transferred-cifar-config-extra,information-theoretic,977,977,0.6251785159,0,0.07287155837,0,0.1075039131,0.1273907691,,,0.1120982868,
scarce-10pct,0.1,duq,transferred-cifar-config-extra,bregman-estimated,977,977,0.6251785159,-4.000868803e-10,0.07287155837,1.274349071e-08,0.1075039131,0.1273907691,,,0.1120982868,
scarce-10pct,0.1,fast-deep-ensemble,transferred-cifar-config-extra,information-theoretic,977,977,0.3125378489,0.1353601664,0.1425920725,0.06667754054,0.06842445648,0.1154713541,0.1745157432,0.1782006119,0.07511518457,0.1714462495
scarce-10pct,0.1,fast-deep-ensemble,transferred-cifar-config-extra,bregman-estimated,977,977,0.3125378489,0.1669686288,0.1425920725,0.09651593119,0.06842445648,0.1154713541,0.143391041,0.1643309434,0.07511518457,0.1477150253
full-data,1,deep-correctness-prediction,transferred-cifar-config-extra,information-theoretic,977,977,0.3530355692,0,0.2379796058,0,0.06434710461,0.1370170168,,,0.09231129446,
